PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31707624","Dietary lipids, gut microbiota and lipid metabolism","Schoeler M, Caesar R.","Rev Endocr Metab Disord. 2019 Dec;20(4):461-472. doi: 10.1007/s11154-019-09512-0.","Schoeler M","Rev Endocr Metab Disord","2019","2019/11/11","PMC6938793","","10.1007/s11154-019-09512-0"
"32872570","Pathophysiology of Type 2 Diabetes Mellitus","Galicia-Garcia U, Benito-Vicente A, Jebari S, Larrea-Sebal A, Siddiqi H, Uribe KB, Ostolaza H, Martín C.","Int J Mol Sci. 2020 Aug 30;21(17):6275. doi: 10.3390/ijms21176275.","Galicia-Garcia U","Int J Mol Sci","2020","2020/09/03","PMC7503727","","10.3390/ijms21176275"
"28360349","Gut Microbiota in Cardiovascular Health and Disease","Tang WH, Kitai T, Hazen SL.","Circ Res. 2017 Mar 31;120(7):1183-1196. doi: 10.1161/CIRCRESAHA.117.309715.","Tang WH","Circ Res","2017","2017/04/01","PMC5390330","NIHMS857163","10.1161/CIRCRESAHA.117.309715"
"30410105","Dietary metabolism, the gut microbiome, and heart failure","Tang WHW, Li DY, Hazen SL.","Nat Rev Cardiol. 2019 Mar;16(3):137-154. doi: 10.1038/s41569-018-0108-7.","Tang WHW","Nat Rev Cardiol","2019","2018/11/10","PMC6377322","NIHMS1008509","10.1038/s41569-018-0108-7"
"32110880","The Gut Microbiota and Its Implication in the Development of Atherosclerosis and Related Cardiovascular Diseases","Sanchez-Rodriguez E, Egea-Zorrilla A, Plaza-Díaz J, Aragón-Vela J, Muñoz-Quezada S, Tercedor-Sánchez L, Abadia-Molina F.","Nutrients. 2020 Feb 26;12(3):605. doi: 10.3390/nu12030605.","Sanchez-Rodriguez E","Nutrients","2020","2020/03/01","PMC7146472","","10.3390/nu12030605"
"30319417","The Role of Gut Microbiota in Atherosclerosis and Hypertension","Ma J, Li H.","Front Pharmacol. 2018 Sep 25;9:1082. doi: 10.3389/fphar.2018.01082. eCollection 2018.","Ma J","Front Pharmacol","2018","2018/10/16","PMC6167910","","10.3389/fphar.2018.01082"
"31469291","The gut microbiome and cardiovascular disease: current knowledge and clinical potential","Ahmad AF, Dwivedi G, O'Gara F, Caparros-Martin J, Ward NC.","Am J Physiol Heart Circ Physiol. 2019 Nov 1;317(5):H923-H938. doi: 10.1152/ajpheart.00376.2019. Epub 2019 Aug 30.","Ahmad AF","Am J Physiol Heart Circ Physiol","2019","2019/08/31","","","10.1152/ajpheart.00376.2019"
"33401080","A cross-talk between gut microbiome, salt and hypertension","Naqvi S, Asar TO, Kumar V, Al-Abbasi FA, Alhayyani S, Kamal MA, Anwar F.","Biomed Pharmacother. 2021 Feb;134:111156. doi: 10.1016/j.biopha.2020.111156. Epub 2021 Jan 2.","Naqvi S","Biomed Pharmacother","2021","2021/01/05","","","10.1016/j.biopha.2020.111156"
"33863898","Berberine attenuates choline-induced atherosclerosis by inhibiting trimethylamine and trimethylamine-N-oxide production via manipulating the gut microbiome","Li X, Su C, Jiang Z, Yang Y, Zhang Y, Yang M, Zhang X, Du Y, Zhang J, Wang L, Jiang J, Hong B.","NPJ Biofilms Microbiomes. 2021 Apr 16;7(1):36. doi: 10.1038/s41522-021-00205-8.","Li X","NPJ Biofilms Microbiomes","2021","2021/04/17","PMC8052457","","10.1038/s41522-021-00205-8"
"32062353","The gut microbiome in coronary artery disease and heart failure: Current knowledge and future directions","Trøseid M, Andersen GØ, Broch K, Hov JR.","EBioMedicine. 2020 Feb;52:102649. doi: 10.1016/j.ebiom.2020.102649. Epub 2020 Feb 12.","Trøseid M","EBioMedicine","2020","2020/02/17","PMC7016372","","10.1016/j.ebiom.2020.102649"
